algorithm_name,env_n,size,best_solution,H,states,time
random,9,10,"[4, 7, 1, 3, 9, 0, 3, 8, 2, 5]",1,100001,0.6668933350010775
HC,9,10,"[6, 4, 1, 1, 9, 5, 8, 3, 0, 2]",2,368,0.0012742800026899204
SA,9,10,"[6, 2, 7, 1, 8, 0, 5, 3, 5, 9]",1,457,0.0019286340029793791
GA,9,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,3433,0.018279156000062358
random,10,10,"[7, 5, 1, 6, 9, 0, 4, 4, 8, 3]",1,100001,0.6734988190000877
HC,10,10,"[1, 6, 4, 0, 0, 3, 9, 7, 2, 8]",1,460,0.001624362004804425
SA,10,10,"[0, 4, 8, 1, 9, 6, 0, 2, 7, 5]",1,457,0.0019139150026603602
GA,10,10,"[4, 0, 7, 3, 6, 8, 1, 5, 9, 2]",0,90751,0.47939948400016874
random,11,10,"[2, 6, 9, 3, 7, 4, 2, 8, 5, 1]",2,100001,0.67441332800081
HC,11,10,"[7, 1, 4, 6, 8, 2, 5, 3, 0, 9]",2,368,0.0013281880019349046
SA,11,10,"[8, 4, 7, 1, 6, 9, 5, 0, 2, 9]",2,457,0.0019368930006748997
GA,11,10,"[6, 8, 3, 0, 4, 9, 1, 5, 7, 2]",0,15291,0.08110880499589257
random,12,10,"[8, 3, 7, 4, 1, 6, 9, 5, 2, 4]",2,100001,0.6647477680016891
HC,12,10,"[2, 6, 1, 9, 1, 8, 4, 7, 3, 0]",1,460,0.0015242839945130982
SA,12,10,"[7, 3, 1, 6, 4, 9, 0, 8, 5, 2]",0,401,0.001617661997443065
GA,12,10,"[5, 8, 6, 0, 3, 1, 4, 7, 9, 2]",0,1571,0.008427109998592641
random,13,10,"[2, 4, 5, 7, 9, 3, 6, 8, 1, 8]",2,100001,0.6573209530033637
HC,13,10,"[2, 9, 1, 4, 8, 0, 3, 7, 0, 5]",2,552,0.0018438960032653995
SA,13,10,"[0, 6, 9, 5, 8, 1, 3, 8, 2, 7]",1,457,0.0018473960008122958
GA,13,10,"[3, 0, 9, 6, 4, 8, 2, 1, 5, 7]",7,100001,0.5179750289971707
random,14,10,"[2, 4, 7, 0, 0, 9, 5, 8, 8, 1]",2,100001,0.6711871340012294
HC,14,10,"[7, 4, 0, 5, 0, 9, 3, 6, 8, 1]",1,460,0.0016020219991332851
SA,14,10,"[5, 3, 1, 9, 5, 8, 0, 4, 6, 7]",2,457,0.0019231740006944165
GA,14,10,"[4, 1, 5, 2, 9, 6, 8, 3, 0, 7]",0,493,0.002829153003403917
random,15,10,"[5, 2, 7, 3, 6, 9, 1, 4, 0, 8]",1,100001,0.6752654160009115
HC,15,10,"[2, 4, 1, 8, 9, 5, 1, 7, 0, 3]",3,276,0.0009546669971314259
SA,15,10,"[2, 0, 5, 9, 4, 1, 3, 8, 6, 1]",1,457,0.0018904550015577115
GA,15,10,"[2, 8, 1, 9, 4, 6, 0, 3, 5, 7]",0,689,0.0037724310022895224
random,16,10,"[2, 7, 3, 1, 9, 5, 8, 0, 4, 0]",2,100001,0.6548633010024787
HC,16,10,"[1, 6, 8, 3, 7, 4, 0, 9, 0, 5]",2,460,0.0017852879973361269
SA,16,10,"[1, 5, 2, 9, 3, 0, 8, 4, 0, 7]",1,457,0.0018826550003723241
GA,16,10,"[6, 3, 7, 0, 4, 9, 1, 5, 2, 8]",0,2355,0.012660169006267097
random,17,10,"[8, 4, 7, 1, 8, 5, 0, 6, 9, 2]",1,100001,0.6807333779943292
HC,17,10,"[2, 5, 1, 8, 4, 0, 9, 3, 6, 7]",1,552,0.0019401639947318472
SA,17,10,"[2, 9, 7, 0, 3, 8, 6, 1, 9, 5]",1,457,0.0019342739979038015
GA,17,10,"[3, 1, 4, 8, 0, 9, 7, 5, 2, 6]",0,3727,0.02008851400023559
random,18,10,"[7, 0, 2, 5, 8, 0, 9, 4, 1, 7]",2,100001,0.6781338200016762
HC,18,10,"[6, 1, 7, 4, 0, 3, 8, 9, 5, 2]",1,460,0.0016265810045297258
SA,18,10,"[6, 3, 0, 2, 9, 5, 1, 4, 9, 7]",2,457,0.0019316539983265102
GA,18,10,"[1, 4, 8, 3, 9, 7, 5, 2, 0, 6]",0,885,0.005008560998248868
